30,0.025,1
52,0.105,1
128,7.536,3
128,9.619,2
128,6.549,4
11,0.018,2
23,0.015,1
47,0.219,1
95,0.377,1
100,802.372,12
25,0.27,7
36,2.936,9
49,19.415,13
96,12999.001,10
64,24.268,9
81,34.143,10
37,0.042,1
16,0.026,3
21,0.26,21
36,7.422,69
14,0.102,12
24,1.039,30
6,0.005,1
7,0.014,3
64,1455.245,359
79,11897.384,779
64,55.182,9
100,509.92,11
100,2456.282,15
56,0.581,4
13,0.044,11
52,69.064,165
65,632.114,341
91,43965.322,1397
104,400643.323,2805
44,55.509,90
54,454.871,132
64,3469.687,182
74,13501.059,240
79,12.136,14
125,0.16,1
250,4.306,6
87,572.361,6
74,1039.887,7